Review,Rating
"horrible customer service hotel stay february 3rd 4th 2007my friend picked hotel monaco appealing website online package included champagne late checkout 3 free valet gift spa weekend 	friend checked room hours earlier came later 	pulled valet young man just stood 	asked valet open said 	pull bags didn__«_È_ offer help 	got garment bag suitcase came car key room number says not valet 	car park car street pull 	left key working asked valet park car gets 	went room fine bottle champagne oil lotion gift spa 	dressed went came got bed noticed blood drops pillows sheets pillows 	disgusted just unbelievable 	called desk sent somebody 20 minutes later 	swapped sheets left apologizing 	sunday morning called desk speak management sheets aggravated rude 	apparently no manager kind supervisor weekend wait monday morning 	young man spoke said cover food adding person changed sheets said fresh blood rude tone 	checkout 3pm package booked 	12 1:30 staff maids tried walk room opening door apologizing closing 	people called saying check 12 remind package 	finally packed things went downstairs check 	quickly signed paper took 	way took closer look room 	unfortunately covered food offered charged valet 	called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier 	life treated like hotel 	not sure hotel constantly problems lucky ones stay recommend anybody know 	 ",1
"noise airconditioner-a standard 	arranged stay travel agency unfortunately warwick seattle hotel dissapointment trip 	3 night stay warwick changed 3 rooms 	starting minute stay hotel personnel didn`t make feel like guest like intruder 	reluctant help solve complaints 	hotel right downtown 5 minutes really good restaurants like good thing 	availability room offered 2nd floor window directly opening car parking level 	changed room 	3 rooms loud sound coming air conditioner/ heating unbelievable hotel 	hotel personnel told standard noise rooms 	tried avoid using night order sleep possible watching tv loudly 	 ",1
"bad choice 	booked hotel hot wire called immediately requesting nonsmoking room king bed room away elevator/ice.the person spoke pleasant stated not guarantee requests honored make note reservation 	check-in person desk rude said no special request noted reservation card andstated no king beds way reservation stuck 2 double beds 	located directly accross elevator ice 	nonsmoking 	no elevator parking garage hotel 	warwick mats garage filthy stairwells 	hotel faces 4th smells urine 	carpets registration elevator area need cleaning 	upholstery curtains room needed cleaning andpressing sign bathroom water conservation tub facet dripped continuously 	tub drain needsattention shower curtain holes 	no coffee maker room 	bedding did not fit bed sleeping directly mattress bedding askew 	staff unfriendly short 	housekeeping staff quite pleasant 	stay hotel 	 ",1
"hated inn terrible 	room-service horrible staff un-welcoming 	decor recently updated lacks complete look 	managment staff horrible 	 ",1
"ace grunge lives does mold mildew tiny bed metal sink cool extra instead nightsta 	 ",1
"stay clear 	internet reservation friday rang hour later add thursday booking 	thursday rang let know arriving late said no problem 	arrive 10.30pm hear oh n't booking tonight 	n't room 	total apathy not concerned 	says sorrys looks reservation book sorrys apathy 	finally says bb door calls authority hangs says sorry times 	incompetence management employees 	completely soured trip 	stay away 	 ",1
"single rooms like hospital rooms single rooms hotel sparse intentional know ugly like trapped hospital white walls sink basin room small rectangle shape.the beds hard rocks blankets rough really noisy.this overrated hotel stayed fan stype hotels 	 ",1
"worst hotel experience booked nonsmoking room online weeks advance stay crowne plaza downtown seattle 	arrival desk staff asked consider smoking room 	completely unacceptable family clearly stated no not consider smoking room mainly concern infant daughter health 	particular staff member went speak quietly desk staff member agreed particular room 	entered room smell cigarette smoke apparent not imagine desk staff intentionally smoking room informing 	days later discovered ashtray matches checked desk discover fact smoking room intentionally not kept reserved nonsmoking room 	clothes belongings baby reeked cigarette smoke.in addition appalling lack concern health wishes room not serviced night stay 	asked desk manager room not serviced checked housekeeping informed not disturb tag door did not disturb 	not case tag inside door entire time anxiously awaiting staff garbage dirty diapers replace towels 	desk manager offered pathetic compensation complimentary hotel breakfast family exposed carcinogenic cigarette fumes days not having rooms cleaned 	definitely stay crowne plaza hotel 	 ",1
"quaint not rundown son decided celebrate graduation high school trip seattle 	chose inn queen anne proximity experience music project space needle funky shops eateries nearby 	hotel described quaint pictures hotel website nice gave shot.upon entering hotel greeted carpet lobby filthy torn 	uh-oh thought not good sign 	desk overbooked paid confirmed reservations late arrival 2 weeks prior room left 2 beds 	took hurriedly left things room grab quick bite 	returning getting bed noticed room no a/c windows not open son double bed clean twin hairy sheets closet 	not talking old fashioned wall pull-out bed-this actually tiny twin bed stuffed closet 	went kitchenette leftovers fridge fridge mold did not work 	went desk complain told nothing sucked tried sleep 	took sheets bed used sons blanket eventually closet got stuffy jumped sons bed fan 	morning experienced plumbing issues toilet shower bugs bathroom 	packing looked bed make sure got discovered possessions stayed did 	housekeepers did not clean beds change sheets 	canceled rest stay decided leave seattle drove anacortes stayed cap sante inn- palace compared night before.i wrote manager queen anne requesting refund 	received letter saying refund not given gave coupon stay 	use 	word quaint queen anne uses advertising not rundown.my advice anybody staying check room white glove inspection make sure working order agree stay it.by way queen anne policy reserve room charge card immediately not refund 72 hours advance cancellation 	ridiculous 	 ",1
"terrible hotel approximately 2 weeks ago april 25 2007 reservation hotel night 19 2007 	wrote follow-up request reply advised reservation cancelled overbooking.i wote giving reservation number just wrote just saying sorry making no effort room nearby hotel 	rhe emails brigeta operation manager 	not written approximately 2 weeks stay positive left scrambe new hotel lobby inn queen anne.i practice unforgivable especially light having resevation number guarenteeing room 19 2007. point making advance reservations hotel suddenly cancel little advance notice sincerely greg scanlonsan francisco 	 ",1
"old dumpy place problems head starts spinning thinking start 	got like 10pm check-in told park street cuz no parking left lot 	room tiny carpet dirty spots 	room came kitchen nasty used 	especially fridge time opened nasty odor rotten vegetables gushed fridge filled entire room 	day night hear people talking walking stairwell right outside 	noise streets right outside window substantial 	just no sound insulation place 	bathroom surprisingly clean room appeared well-kept 	shower pressure horrible stay ran hot water twice 	fact morning took cold shower basically start end 	desk staff generally nice 	guy completely uncaring unhelpful not sure problem 	thing liked place ceiling fan walk-in closet 	paid 100/night place suppose reasonable seattle center area 	pay 40 night stay holiday inn express 	basically ca n't recommend place 	 ",1
"dump stayed weekend expected charming 1929 property based web-site reviews expedia 	did n't expect charming mean incompetent staff showers randomly scalding cold medium pressure just trickle tacky acoustic ceilings moldy non-functional windows shower no screens windows no a/c having room left unlocked maid service having wait 18 hours iron gave 30 minutes make wedding having car 8am parking thought desk reality n't etc. etc.expedia apparantly wo n't publish negative reviews like gather having tried 3 times publish on-line calling customer service exchanging e-mails 	beware reviews expedia especially beware hotels like 	 ",1
"decent location nice staff disappointing read reviews citysearch trip advisor moore hotel 	called book shared bathroom queen room avail 	lived/traveled europe year did n't think shared bath problem 	fiance shared bathroom toilet shower entire floor stayed room 403 	25 rooms 1 bathroom 	yes read correctly 25 rooms 2 people room bathroom 	everytime day/night/6am/midnight/noontime tried use shower busy 	paper-thin walls no shower toilet far room tiny room dirty sink room smaller-than-reserved-bed miserable 	asked change rooms told 	tried hotel seattle 150/night impossible 	loved town stay hotel 	passed homeless/drunk/druggie-looking types way hotel night sure n't felt safe 6'5 fiance arm 	wanted warn experience try stay capitol hill belltown close downtown action/shops/mass transit far away enjoy locals seattle 	 ",1
"rudest people dont stay 	despite fact cool hotel place sucks 	desk nights run rudest people met 	not problem room extremely rude not hear issue 	dissapointed 	 ",1
"terrible experience awful night stay 	planned staying 3 dirty old hot 	no a.c. met 2 policemen suggested safer place town 	price n't 	spend little lots advantages 	 ",1
"miss 	stayed hotel friend weekend 19th-21st september 	stayed recommended friend book basis stay reasonable 	definitely not case time 	disappointing things weekend executuve hotel pacific placed room directly opposite elevators 5th floor 	noise elevators guests returning home early hours morning loud usually heavy sleeper hear clearly night 	cleaning staff racket morning difficult sleep past 7am.2.we specific online request small fridge room medications 	obviously ignored online pleas checked 	previously similar hotels offered small portable fridge/cooler exact purpose.3 	air conditioning did work turn produced worrying burning smell turned not used weeks 	tried open window stuck open cm try let cool fresh air stuffy room.4 	bathroom small size n't main issue 	shower head virtually no pressure toilet noisy time flushed hear toilets adjacent rooms quite clearly 	old poor plumbing.5 	suggested desk staff reasons said fully booked night change rooms second night 	agreed 	presented desk new room day new staff member stated nothing documented book room change booked not help 	fact freely admitted just used room guest checked minutes overbooked rooms 4 guests check-in 	not imagine reputable hotel does admits guests 	glad check-out not returning hotel 	time gladly pay extra dollars decent hotel room service 	 ",1
"stay away dirty rooms stayed far better places seattle 	room size prison cell window facing outside wall 	quiet showered flushed toilet 	plus seattle best coffee lobby right downtown 	hotel limo expect pay 30 yellow cab 	hotel staff helpful friendly 	 ",1
"cramped noisy overrated husband just stayed hotel mid-july horrible experience 	not superior queen room incredibly cramped noises elevator guests rooms nearly impossible sleep night 	hotel promises amenities wireless internet access rooms n't working 	felt like paid place set sour tone beginning vacation 	nights cancelled rest stay booked new hotel 	 ",1
"upgrade outdated arrived given junior suite marriott silver status 	upgraded room joke 	switches broken linens old bed sagged lcd tv sitting radiator not bed 	addition nearly impossible king size bed no walking room 	room away highway road noise bad 	wife didnot sleep wink night 	morning canceled 2 days reservation moved towneplace suites near airport 	half price better renaissance 	worst marriott stayed 	stay away 	 ",1
"dirty place 	watch 	limited english used 	reading reviews sounds like complete different hotel stayed 	stayed 9/12-9/15 room club level floor 26. say rooms needed updating understatement 	not usually care decade style problem decades dirt cause room itch produce rash 	case 	everytime left room breath did not itch 	return room began 	carpet multi dark color did lot hide years goodness knows 	did not dare walk barefoot 	carpet tore doorway tiles loose bathroom 	usually hotel remodels starts expensive room remodels long way off.beds beds nothing special 	bathroom size closet forget closing door not possible.for need know friends requested handicap room wheelchair 	no handicap room 	regular room couple shower bars minumum legal requirement 	not service personal check bar course spoke complete coherent english 	need know want communicate housekeeping staff gift store 	incredibly frustrating tell housekeeping leave extra towels draw pictures.the called parking garage unmanned entry completely unsafe 	need know 	dark shadowed underground exceptionally tight spaces 	elevators not clear 	actually enter doorways stairs flight reach elevator places 	stairways believe town 	careful check breeze check 	english speaking folks hidden 	bar course want money aggrevating you.however note credit card charged twice entire stay having worst time resolving issue 	reason feel compelled connecting desk hotel 	folks not billing 	trying 2 days 	 ",1
"worst hotel experience thinking booking room hotel just n't 	traveled seattle 3 work colleagues seminar 	booked room priceline asking 3-star hotel downtown seattle got reservations renaissance supposedly 4-star hotel 	disaster half got rooms i-5 freeway building 	noise bad large container trucks rumbling night switch rooms 	earplugs did n't help block noise 	rooms pretty shabby scratched damaged furniture 	complained management asked switch rooms told priceline rooms discounted rooms n't expect quality paying guests 	ended having pay extra 25 night just adequate rooms.the half group got rooms hotel 	construction going early morning quite late night 	rooms terribly noisy earplugs cut noise.the staff acted like complaints guests not able sleep noise old news did n't want hear 	acted indignant dare complain extremely rude dismissive.also ice machines broken floors search 3 floors working no attempt fix 	no minibar mini refrigerator rooms 	spot refigerator used removed all.the renaissance bills 4-star hotel 	rating based solely hotel lobby 3 stars 	based shabby rooms noise lack service rude staff stretched 1 star stay renaissance hotel 	 ",1
"horrible customer service worst hilton possibly worst hotel 	trying review guidelines feel important people know kinds business practices ran into.we stayed hilton nights second night having wedding reception hilton.all booking went smoothly room decent exectutive sweet not overpriced got discount having reception there.the problems arrived later reception short summary things happened.-elevators having issues night.-myself reception stuck lobby n't reception elevators not working key card given not working up-the dj closing party early party no staff locking room not allowing entrance gather belongs use reception room additional hour half booked contract-a hilton staff member challenging fist fight telling hit got aggravated insisted let up.-having head security apologize actions said staff member.-finally getting executive suite stay rest night.-having police wife assaulted hilton staff member tried fight putting hand getting security apologized us.-after police left hearing story hour later long elevators broken night manager security officer showed kick mentioned assault glad arrest n't made.-after threatening lawyers involved breach contract told stay.-getting 15 minutes later night manager apologize told work sort discount trouble.-waking morning finding double charged room parking vehicles not ours.-dealing people nice saying work getting charges reversed right back.-finding hilton additional charges not outlined contract consent-being told willing reverse small portion charges staff says story false.so end breached contract refused credit 	not sure action burned abuse received 	 ",1
"agree worst hilton 	absolute worst hilton stayed 	gold hh members travel lot absolute worst hilton world 	leg week vacation 10 year old daughter took hilton properties south lake tahoe ca way whistler bc 	rate hiltons excellentfirst charge 9.95 night use internet room 	free wireless internet available executive lounge small converted guest room lobby 	went executive lounge comical 	business people packed elbow elbow laptops using free internet eating drinking free food 	sight 	sure de-congest executive lounge did n't charge internet stayed hilton honors floor noticed dirty dishes newspapers hall n't picked days there.the excercise room size walk closet treadmills stepper jammed there.the people provided sort customer service bellmen 	desk personnel management delt no customer service skills.my car parked hilton garage window smashed car ransacked 	hilton security simply left business card smashed window took time sweep glass ground 	discovered hilton security knew car broken let sit smashed window days 	did notify 	no 	series failures hilton staff touch seattle hilton director security 	asked n't notified car broken 	response not policy not parking manual 	hilton honors stated gm contact monday 	wednesday no response 	finally drafted lenghty letter hilton corporate hq regarding seattle hilton 	 ",1
"stay plenty nice hotels seattle 	not 	terrible stay bellman lost luggage phones did n't work dirty sheets letter manager answered acknowledged 	better staying 	 ",1
"avoid costs place nightmare 	understaffed messy 	arrived 10 pm guests deep desk telephone continually ringing employee 	later lone employee hired week ago 	room clean medicinal smell cleaning fluids overwhelming 	hallways elevator dirty littered 	place absolutely no appeal not close worth 140.00 night 	 ",1
"worse stay hotel 	no help 	concierge no idea sites city espically 	finding concierge knew fishermans terminal advised taking cab did 	not knowing cabs did not return area 	stuck hour calling hotel assistance having tell use nothing 	saw guests upset 	 ",1
"wo n't book 	just returned seattle booked seattle sheraton towers nights 	left hotel night desk did n't inquire leaving 	club floor 2 hours morning continental breakfast 2 hours evening canapes lounge closed tight 	evening poured coffee used small plastic container cream dish coffee urn 	cream sour curdled coffee not staff personnel talk 	room dreary stains carpets 	good location hotel definitely seen better days 	 ",1
"not book false information family just finished 7-day alaskan cruise 	looking hotel seattle wa shuttle service pier hotel hotel airport place leave luggage 5-6 hrs went site seeing downtown 	booking company particular hotel assured criteria met hotel booked room just store luggage 115 	ended no travel accomodations hotel airport 	ended having 2 taxis destinations 	needless say angry extra 80 hotel 	hotel manager not available phone 	customer service reps finally got called 5-6 times sent email website 	matter resolved hopefully 	said reimburse taxi fares believe 	advice situation grab taxi airport 30 flat fee downtown seatac airport check luggage early ride-on bus downtown 1.50 way seniors free kids 	free ride bus downtown seattle 7pm everyday 	 ",1
"budget booked hotel weekend november recommendation clean spartan room travel book not expecting seriously whelmed 	room old tired felt dirty 	slept fully clothed wore socks times 	shower gross sink toilet new clean 	pillows felt filled cotton balls bed creaked squeaked slightest movement did walls carpet stained did not feel lock door work 	faced lovely strip club 	noise outside hotel expected downtown location noise inside hotel obscene 	people banging door 3 morning party room not mention felt right bed 	walls general paper hear neighbours conversations watching tv.some staff friendly not sharpest location great walk 	not reccomend embarresed say stayed 	 ",1
"checked tripadvisor place terrible just reviewers tripadvisor indicates 	couple reviews looks like written hotel staff exact opposite real experience.from low quality toiletries inconsistent house keeping property rated 3 star 	attempts property unique look succeeds making gag incredibly poor taste decorated 	like big joke you.the hotel noisy rooms tiny decor ugly staff average isolated rest seattle view overrated nearby train noisy room stinky 	lounge expensive 10 drinks good view absolutely no character 	experiencing boring lounge decided not bother restaurant instead cabbed city food.i recommend using tripadvisor pick 4 star hotel instead foolish like pay consequences 	fact probably pick highly rated 3 star hotel fare times better did 	 ",1
"overpriced not great disappointing property 	setting stilts hanging water fabulous ends.the decor odd incongruous impressions seattle 	log cabin-ish better suited ski lodge vermont colorado 	requested water-facing room check-in told cost 50 dollars paid 	having forked 300 dollars night declined took city facing room 	irritating colleague booked room rate agent checked right behund got water facing room no extra charge asking notwithstanding odd decor hotel looks tired worn 	room abysmally small amazed american travellers accept rooms size knowing spacious hotels general 	not large person not problem typically smaller rooms finds eurpoean continent 	barely space double bed sharing felt claustrophobic 	city-facing rooms railway line busy level crossing clanging bell time train passes 	happens day night 	rooms need twice size sound-proofed 	3 nights trot chaicago seattle san francisco far worst value 3 cities 	lot better price seattle 	 ",1
"terrible accomodations ruined impression seattle decided stay hotel hearing work colleague great place stay waterfront seattle 	booking stay checked website 	talk misleading pictures 	got hotel sunday afternoon checked immediately disappointed got hotel hallway room 	dirty reminded old college dormitory 	hotel room did not overlook water train tracks small clean no drawers clothing no desk work 	additionally hotel loaded folks spent weekend hemp fest 	not recommend fooled website 	heard lady met town dinner highly recommends inn black market alexis wish met earlier think different seattle experience 	time 	n't waste money edgewater 	 ",1
"absolutly worst booked room wife trip seattle edgewater.we ended having plane delays mechanical juneau flt 75. called edgewater inform late arrival 	ended arriving late flt 66. finally reached edgewater room not reserved 	main issues heating cold night general condition room run 	asked desk relocate room 	informed no rooms available stay 	early morning asked moved asked room accepting 	informed room not available 4:00 p.m. desk wanted leave bags 	not comfortable accepting room sight unseen charges accrueing day 	wife agreed time cancel staythe edgewater refused adjust credit card contacted wwte online reimbursement 	received adjustment charges wwte 	night business trip seattle 	 ",1
"noisy room room beautiful killer view right ballrooms wedding reception going 	wife took 40th birthday supposed romantice evening away kids 	got noisy 11:00 evening listening muffled 70 music people dancing 	manager n't budge giving compensate bad experience 	did offer smaller room 	stay 	stay friday saturday night ask stay far away ballroom possible 	 ",1
"watch spent single night westin seattle left favorite jacket closet left room 	n't worried reported missing jacket just hours check town days 	inquiries pay attention trying track 	jacket not appeared logical conclusion hotel employee nice jacket 	expected budget accommodation not supposedly fine hotel 	close track things choose stay 	 ",1
"checked immediately checked 	tour pacific north west pre-booked junior suite rate c. 470 night 	arrival 21st floor musty smell neglect tobacco spite smoke-free claims hit 	suite turned 2 adjacent not adjoining rooms dark unclean uncared just plain shabby.the bed base stained bathroom tiny no separate shower general facilities incl 	ancient t.v 	befitting cheap motel.we immediately compained asked modern suite told none available added confession hotel overdue renovation 	credit manager desk clerk dealt courteous professional manner called pan pacific turned far superior spacous clean beautiful recent opening cheaper 291 	result experience immediately cancelled booking westin vancouver later tour changed pan pacific superb 	sadly think westin sliding downhill resting laurels glory not good today market 	 ",1
"no customer care booked travelocity 	flight cancelled snow ice delayed day westin refused refund 1 2 nights 	200+ night hotel bit greedy 	not mention view n't great air did n't work barely slept night 	expect minimum air work room.still waiting hear travelocity not refund told left town refused got 	happily ate cost rental car extra day.we wo n't dealing time soon 	 ",1
