txt,rating,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise
horrible customer service hotel stay february 3rd 4th 2007my friend picked hotel monaco appealing website online package included champagne late checkout 3 free valet gift spa weekend ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.477632194757462,0.093880340456963,0.066489733755589,0.29494833946228,0.067049369215965
noise airconditioner-a standard ,1,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.812649130821228,0.025535587221384,0.025571379810572,0.133989661931992,0.002254249993712
bad choice ,1,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.575305044651032,0.069665744900704,0.041906334459782,0.230335205793381,0.082787699997425
hated inn terrible ,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.343763142824173,0.112392298877239,0.038877867162228,0.480155348777771,0.024811333045364
ace grunge lives does mold mildew tiny bed metal sink cool extra instead nightsta ,1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.732081413269043,0.049582712352276,0.016792820766568,0.186796113848686,0.014746913686395
stay clear ,1,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.587192475795746,0.035595633089542,0.130886092782021,0.244266748428345,0.002059048274532
single rooms like hospital rooms single rooms hotel sparse intentional know ugly like trapped hospital white walls sink basin room small rectangle shape.the beds hard rocks blankets rough really noisy.this overrated hotel stayed fan stype hotels ,1,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.603515267372131,0.030810518190265,0.048302009701729,0.271981179714203,0.045391038060188
worst hotel experience booked nonsmoking room online weeks advance stay crowne plaza downtown seattle ,1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.66827005147934,0.029256019741297,0.044689696282148,0.239323228597641,0.018460996448994
quaint not rundown son decided celebrate graduation high school trip seattle ,1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.141979277133942,0.063071250915527,0.061185739934445,0.392518818378448,0.341244876384735
terrible hotel approximately 2 weeks ago april 25 2007 reservation hotel night 19 2007 ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.635739684104919,0.052514664828777,0.07304572314024,0.234060510993004,0.004639479331672
old dumpy place problems head starts spinning thinking start ,1,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.638400971889496,0.034075655043125,0.03340993821621,0.233288750052452,0.06082471087575
dump stayed weekend expected charming 1929 property based web-site reviews expedia ,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.608775734901428,0.056656286120415,0.059936746954918,0.195185616612434,0.079445615410805
decent location nice staff disappointing read reviews citysearch trip advisor moore hotel ,1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.226074069738388,0.130077242851257,0.090408265590668,0.425454884767532,0.127985537052155
rudest people dont stay ,1,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.89441043138504,0.001138508319855,0.006722257472575,0.092817530035973,0.004911213647574
terrible experience awful night stay ,1,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.274881035089493,0.088577449321747,0.083994790911675,0.546636819839478,0.005909878760576
miss ,1,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.595848143100739,0.051416844129562,0.048275358974934,0.273063480854034,0.03139615803957
stay away dirty rooms stayed far better places seattle ,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.443145334720612,0.07771110534668,0.016127318143845,0.141815558075905,0.321200639009476
cramped noisy overrated husband just stayed hotel mid-july horrible experience ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.695426344871521,0.056228704750538,0.022857524454594,0.219516038894653,0.005971319042146
upgrade outdated arrived given junior suite marriott silver status ,1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.533152222633362,0.02739535830915,0.060688905417919,0.373966157436371,0.004797354806215
dirty place ,1,P,DISAGREEMENT,SUBJECTIVE,84,NONIRONIC,0.694952130317688,0.017025340348482,0.053843557834625,0.225204527378082,0.008974498137832
worst hotel experience thinking booking room hotel just n't ,1,NEU,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.828256726264954,0.012576160021126,0.024486687034369,0.121226198971272,0.013454250060022
horrible customer service worst hilton possibly worst hotel ,1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.538995683193207,0.062555901706219,0.132826611399651,0.209442019462585,0.056179765611887
agree worst hilton ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.741191148757935,0.008563273586333,0.03087892383337,0.213061362504959,0.006305288989097
stay plenty nice hotels seattle ,1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.408179402351379,0.040921401232481,0.132410734891891,0.403035283088684,0.015453198924661
avoid costs place nightmare ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.733176648616791,0.051929421722889,0.084066048264504,0.128179207444191,0.002648672321811
worse stay hotel ,1,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.616027414798737,0.011112217791379,0.085915923118591,0.278877854347229,0.008066616021097
wo n't book ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.162954390048981,0.255770742893219,0.078044787049294,0.480093687772751,0.023136362433434
not book false information family just finished 7-day alaskan cruise ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.571986973285675,0.12268853187561,0.076797910034657,0.205126628279686,0.023399954661727
budget booked hotel weekend november recommendation clean spartan room travel book not expecting seriously whelmed ,1,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.668207168579102,0.061166577041149,0.026495177298784,0.168780937790871,0.075350061058998
checked tripadvisor place terrible just reviewers tripadvisor indicates ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.530313551425934,0.054501444101334,0.024818344041705,0.348266243934631,0.042100377380848
overpriced not great disappointing property ,1,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.311307400465012,0.053102165460587,0.054602138698101,0.529583394527435,0.051404904574156
terrible accomodations ruined impression seattle decided stay hotel hearing work colleague great place stay waterfront seattle ,1,N,AGREEMENT,SUBJECTIVE,90,IRONIC,0.463119864463806,0.034127935767174,0.058266945183277,0.425817131996155,0.018668171018362
absolutly worst booked room wife trip seattle edgewater.we ended having plane delays mechanical juneau flt 75. called edgewater inform late arrival ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.391619980335236,0.126137241721153,0.154597997665405,0.304304450750351,0.023340318351984
noisy room room beautiful killer view right ballrooms wedding reception going ,1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.338946580886841,0.217338770627975,0.07118459045887,0.343661665916443,0.028868380934
watch spent single night westin seattle left favorite jacket closet left room ,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.179123520851135,0.102964147925377,0.26031482219696,0.427137792110443,0.030459709465504
checked immediately checked ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.108729787170887,0.16379602253437,0.109725549817085,0.539324164390564,0.078424483537674
no customer care booked travelocity ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.331284523010254,0.076064422726631,0.162662327289581,0.405635952949524,0.024352803826332
facilities good location structural issues** stayed property fairly regularly months ,1,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.588764369487762,0.100721836090088,0.049827963113785,0.069944269955158,0.19074159860611
airport quality westin downtown price stayed westin week 9/15/07 ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.610795259475708,0.036148194223642,0.136948764324188,0.212905794382095,0.003201988292858
ca n't recommend considering relocating seattle spent nearly week touring area budget.even price 70 night place expected ,1,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.656695902347565,0.04940977320075,0.030939098447561,0.231353968381882,0.031601257622242
boyfriend stayed easter weekend chose hotel location parking ,1,N,AGREEMENT,SUBJECTIVE,82,IRONIC,0.261343002319336,0.135274067521095,0.053309783339501,0.48164838552475,0.06842478364706
unclean terrible service stayed save money 3 day campus visit university washington ,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.647057056427002,0.016241131350398,0.037381242960692,0.289542138576508,0.009778490290046
n't bother dump ,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.642368614673615,0.010163777507842,0.03333267942071,0.310657680034637,0.00347726047039
terrible service ,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.630053400993347,0.018529830500484,0.145119220018387,0.181590721011162,0.02470681257546
n't stay ,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.473074734210968,0.061890915036202,0.052081905305386,0.360058099031448,0.052894327789545
probably wont stay email sent vagabond inn stayed vagabond inn seattle wa 325 aurora ave. september 9-11 2005. realize n't paying deluxe accommodations wonder able place vacancy near downtown wanted located money able spend said probably wont stay ,1,P,DISAGREEMENT,SUBJECTIVE,73,IRONIC,0.785111248493195,0.025327323004603,0.060035564005375,0.112138018012047,0.017387848347426
ahead reserve n't said ,1,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.50379741191864,0.042654350399971,0.192669361829758,0.222976103425026,0.037902794778347
not good respect frequent business traveler seattle interested trying vintage park great reviews received ,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.583040833473206,0.044667471200228,0.03441184386611,0.319281399250031,0.018598519265652
disappointed way stayed seattle w week june professional conference ,1,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.71623682975769,0.03403739631176,0.038563944399357,0.205381587147713,0.005780253559351
"big disappointment desk w hotel august 12-15,2004. arrived 11:30am told n't check till 3pm 	no choice open suitcase lobby things need city walking pictures 	suitcase placed storage meantime 	came 7pm night check 	desk girl asked credit card did 	asked id picture 	told suitcase storage 	told need 	told not going open suitcase lobby second time humiliating 	hotel manager said thing need id n't offer alternative suggested room suitcase open privately 	ofer apologies 	finally desk girl suggested check staff room suitcase able id picture 	agreed this.this shows hotel supposed cool desk hotel manager n't 	told staff hotel manager coming day big group 70-80 people incident not pass unnoticed management coordinating people think 10 times decide book w hotel future meeting 	 ",1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.443937242031097,0.15896363556385,0.214993715286255,0.147436156868935,0.034669294953346
etrocalgary not contemporary funky hotel just cheap dump ,1,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.602885544300079,0.05621799826622,0.035091899335384,0.291716337203979,0.014088239520788
old rude blah reason stayed jacuzzi suite ,1,P,DISAGREEMENT,SUBJECTIVE,82,IRONIC,0.648411154747009,0.02121695317328,0.020623471587896,0.296069025993347,0.013679355382919
warning not stay ok let tell experiance doubletree hotel ,1,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.611303925514221,0.04232918843627,0.075177513062954,0.223938375711441,0.047250963747501
